fMT,Z,YES_merge,NO_merge,tot_systems
01,0.0002,0.7904453921177061,0.20955460788229383,155234
01,0.0004,0.7495969177293381,0.2504030822706619,95514
01,0.0008,0.7361604240636095,0.26383957593639046,79988
01,0.0012,0.7299755878196068,0.2700244121803932,77830
01,0.0016,0.7379623943238688,0.2620376056761312,76531
01,0.002,0.7481698583629516,0.2518301416370484,75404
01,0.004,0.736897166326557,0.263102833673443,77426
01,0.006,0.7169945421142268,0.2830054578857733,74571
01,0.008,0.7229900720264746,0.2770099279735254,66781
01,0.012,0.7158275362052826,0.28417246379471744,54481
01,0.016,0.7079793290706841,0.29202067092931594,45668
01,0.02,0.658859046429315,0.34114095357068497,38424
02,0.0002,0.7959632875119399,0.20403671248806013,168553
02,0.0004,0.7528458589847834,0.24715414101521663,103308
02,0.0008,0.7350008270516789,0.2649991729483211,84638
02,0.0012,0.7267816585844945,0.2732183414155055,81455
02,0.0016,0.73449291939675,0.26550708060325,80431
02,0.002,0.7466491823122218,0.2533508176877782,79309
02,0.004,0.7441301183469401,0.2558698816530599,79005
02,0.006,0.7389051075340815,0.26109489246591855,74674
02,0.008,0.7553598542362587,0.24464014576374127,65860
02,0.012,0.767234709090566,0.23276529090943404,52989
02,0.016,0.7562028527559581,0.24379714724404192,44939
02,0.02,0.6919477124183007,0.30805228758169934,38250
03,0.0002,0.7933041215938655,0.20669587840613446,175272
03,0.0004,0.7504103872014839,0.2495896127985161,107825
03,0.0008,0.7328002683963319,0.26719973160366806,89420
03,0.0012,0.7252828788721944,0.2747171211278056,86256
03,0.0016,0.7327544790897693,0.26724552091023074,85341
03,0.002,0.7439365229748934,0.25606347702510657,84440
03,0.004,0.7461590884635159,0.2538409115364842,83639
03,0.006,0.7421578317640327,0.25784216823596734,76892
03,0.008,0.7625946418171229,0.2374053581828771,68680
03,0.012,0.7814222317658006,0.21857776823419942,55884
03,0.016,0.7773553373720493,0.2226446626279507,47870
03,0.02,0.7307730798098574,0.2692269201901426,39970
04,0.0002,0.7890670916406709,0.2109329083593291,176952
04,0.0004,0.7451211104472124,0.2548788895527876,108785
04,0.0008,0.7228079423651379,0.27719205763486204,91056
04,0.0012,0.7207826126453488,0.2792173873546512,88064
04,0.0016,0.723056707220372,0.276943292779628,88278
04,0.002,0.7343796506170296,0.26562034938297047,87354
04,0.004,0.7443489522015541,0.25565104779844594,84940
04,0.006,0.7466965399597729,0.2533034600402271,78554
04,0.008,0.7717533405810065,0.2282466594189935,72667
04,0.012,0.8015267175572519,0.1984732824427481,60653
04,0.016,0.8057059757754348,0.19429402422456515,52261
04,0.02,0.7725700682716493,0.2274299317283507,44528
05,0.0002,0.7798844700667226,0.22011552993327743,174154
05,0.0004,0.7299055691873002,0.27009443081269985,107592
05,0.0008,0.7066262068965518,0.2933737931034483,90625
05,0.0012,0.7064164648910412,0.29358353510895885,87556
05,0.0016,0.7077632745597594,0.29223672544024065,89099
05,0.002,0.7184083107908436,0.2815916892091564,87982
05,0.004,0.7304313481424741,0.2695686518575259,83552
05,0.006,0.7366251362102693,0.26337486378973074,76169
05,0.008,0.7749509697101765,0.22504903028982348,73424
05,0.012,0.820880151251979,0.17911984874802098,65057
05,0.016,0.8352490421455939,0.16475095785440613,57942
05,0.02,0.8074789192220642,0.19252108077793578,49927
07,0.0002,0.7517886041701813,0.2482113958298186,160041
07,0.0004,0.6781109166805158,0.32188908331948424,102293
07,0.0008,0.6450519580755937,0.3549480419244063,89399
07,0.0012,0.6429148281229883,0.35708517187701166,85439
07,0.0016,0.6467414977383146,0.35325850226168537,89535
07,0.002,0.6610258338746253,0.3389741661253746,87753
07,0.004,0.6949707483597508,0.30502925164024924,78799
07,0.006,0.7122696642184095,0.28773033578159046,69301
07,0.008,0.7743233768054971,0.22567662319450288,71310
07,0.012,0.8434680897726442,0.1565319102273558,68395
07,0.016,0.8701755445200827,0.12982445547991728,66251
07,0.02,0.8594916025133501,0.14050839748664992,59363
1,0.0002,0.6676336181204053,0.33236638187959466,125825
1,0.0004,0.5128684974136843,0.48713150258631566,95116
1,0.0008,0.48216092704423047,0.5178390729557696,91905
1,0.0012,0.4832983133624851,0.5167016866375149,88045
1,0.0016,0.4889357985150677,0.5110642014849323,96166
1,0.002,0.5124712428441496,0.4875287571558504,93455
1,0.004,0.6020180841305203,0.39798191586947973,76310
1,0.006,0.6433664615870011,0.3566335384129989,63390
1,0.008,0.7370407063142865,0.26295929368571347,68638
1,0.012,0.8291913270314998,0.1708086729685002,71302
1,0.016,0.872022496691663,0.12797750330833702,72544
1,0.02,0.8788855926738037,0.12111440732619631,69777
